ORGAO;orgao_no;orgao_sg;nat_jur_orgao_co;nat_jur_orgao_no;orgao_vinc_co;orgao_vinc_no
95320;GOVERNO DO ESTADO DO RIO DE JANEIRO;ESTADO/RJ;10;SERVICO PUBLICO ESTADUAL;95320;GOVERNO DO ESTADO DO RIO DE JANEIRO
95420;GOVERNO DO ESTADO DE SAO PAULO;ESTADO/SP;10;SERVICO PUBLICO ESTADUAL;95420;GOVERNO DO ESTADO DE SAO PAULO
96120;GOVERNO DO ESTADO DO PARANA;ESTADO/PR;10;SERVICO PUBLICO ESTADUAL;96120;GOVERNO DO ESTADO DO PARANA
96220;GOVERNO DO ESTADO DE SANTA CATARINA;ESTADO/SC;10;SERVICO PUBLICO ESTADUAL;96220;GOVERNO DO ESTADO DE SANTA CATARINA
96320;GOVERNO DO ESTADO DO RIO GRANDE DO SUL;ESTADO/RS;10;SERVICO PUBLICO ESTADUAL;96320;GOVERNO DO ESTADO DO RIO GRANDE DO SUL
97120;GOVERNO DO ESTADO DO MATO GROSSO DO SUL;ESTADO/MS;10;SERVICO PUBLICO ESTADUAL;97120;GOVERNO DO ESTADO DO MATO GROSSO DO SUL
97220;GOVERNO DO ESTADO DO MATO GROSSO;ESTADO/MT;10;SERVICO PUBLICO ESTADUAL;97220;GOVERNO DO ESTADO DO MATO GROSSO
97320;GOVERNO DO ESTADO DE GOIAS;ESTADO/GO;10;SERVICO PUBLICO ESTADUAL;97320;GOVERNO DO ESTADO DE GOIAS
97400;GOVERNO DO DISTRITO FEDERAL;GDF;11;SERV. PUBLICO DISTRITO FEDERAL;97400;GOVERNO DO DISTRITO FEDERAL
97401;CAMARA LEGISLATIVA DO DF;CALEGISDF;11;SERV. PUBLICO DISTRITO FEDERAL;97401;CAMARA LEGISLATIVA DO DF
98000;ORGAO CENTRAL DO SIPEC;SIPEC;1;ADMINISTRACAO DIRETA FEDERAL;98000;ORGAO CENTRAL DO SIPEC
99000;TRIBUNAL REGIONAL ELEITORAL - MG;TRE-MG;1;ADMINISTRACAO DIRETA FEDERAL;99000;TRIBUNAL REGIONAL ELEITORAL - MG
99001;TRIBUNAL REGIONAL DO TRABALHO - MG;TRT-MG;1;ADMINISTRACAO DIRETA FEDERAL;99001;TRIBUNAL REGIONAL DO TRABALHO - MG
99002;TRIBUNAL REGIONAL ELEITORAL - RJ;TRE-RJ;1;ADMINISTRACAO DIRETA FEDERAL;99002;TRIBUNAL REGIONAL ELEITORAL - RJ
